Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Hard Tit For 2 Tats,2.2255192307692306,0.6250534615384615,2.0,0.9476923076923077,0.5116765384615385,0.11337692307692307,0.07672192307692308,0.2982246153846154,0.8946482078069388,0.5557691173218315,0.5041459132549687,0.40688987132499793
1,GTFT: 0.33,2.2241730769230768,0.7177230769230769,4.0,0.9492307692307692,0.5175503846153847,0.2001726923076923,0.09497153846153847,0.1873053846153846,0.9500267740614093,0.34992602465446654,0.9510010226445341,0.34725301680972753
2,"ZD-GTFT-2: 0.25, 0.5",2.2150384615384615,0.6344146153846154,5.0,0.9476923076923077,0.4489380769230769,0.18547653846153847,0.1147246153846154,0.2508607692307692,0.949938998509811,0.16160490917343515,0.9489058536455306,0.2756656128959689
3,Tit For 2 Tats,2.206384615384615,0.6785192307692308,2.0,0.9492307692307692,0.5377388461538462,0.14078038461538464,0.06738230769230769,0.25409846153846155,0.9496545766645397,0.6787590232695434,0.9493768498814255,0.31146676857214195
4,Cooperator,2.1630000000000003,0.9500926923076923,1.0,0.9446153846153846,0.6584853846153848,0.29160730769230764,0.034480000000000004,0.015427307692307693,0.9502119918321082,0.9503187148223428,0.9488408297552322,0.9506559899997999
5,Hard Go By Majority,2.1613461538461536,0.492705,7.0,0.05076923076923077,0.4100011538461538,0.08270384615384616,0.10608153846153848,0.40121346153846155,0.7804960969522134,0.634945392087566,0.37266979259670724,0.1414196266888166
6,Random: 0.5,2.128673076923077,0.4997523076923077,6.0,0.5146153846153846,0.2349142307692307,0.2648380769230769,0.2345661538461538,0.2656815384615384,0.5024933420324914,0.4996293695615244,0.4986946174685946,0.4997900533256232
7,Tit For Tat,2.0791538461538464,0.50214,6.0,0.9553846153846154,0.3712842307692308,0.13085576923076925,0.1310157692307692,0.36684423076923073,0.9509053406471631,0.05029040535219487,0.9504407953797094,0.05055007416993443
8,Joss: 0.9,2.0559230769230767,0.41007923076923075,8.0,0.9592307692307692,0.2747711538461538,0.13530807692307695,0.1693503846153846,0.4205703846153846,0.8585939936631864,0.05060141182259814,0.8613212658678557,0.049953571700581983
9,Win-Stay Lose-Shift: C,1.995519230769231,0.5369196153846154,6.0,0.9553846153846154,0.2659019230769231,0.27101769230769224,0.18795538461538464,0.275125,0.9507589939070412,0.05015524921962096,0.049655745923742896,0.949768189662194
10,Grudger,1.9559423076923075,0.05477884615384616,11.0,0.9523076923076923,0.017283461538461543,0.03749538461538461,0.23962076923076928,0.7056003846153845,0.32662962743969587,0.051717080266178536,0.053138328053557456,0.04932867827819932
11,Defector,1.9552692307692308,0.0498,12.0,0.04846153846153846,0.012625384615384616,0.03717461538461538,0.24151538461538458,0.7086846153846154,0.050060024801834836,0.04784685185945299,0.05051770062387785,0.04948051834950414
12,"ZD-Extort-2: 0.1111111111111111, 0.5",1.94225,0.3245419230769231,9.0,0.9446153846153846,0.2220588461538462,0.10248307692307691,0.16754230769230768,0.5079157692307692,0.8511388913120697,0.5000297516640904,0.3504767462903141,0.05033882567311359
13,Hard Tit For Tat,1.8498269230769229,0.14956461538461538,11.0,0.9646153846153847,0.10072423076923079,0.04884038461538461,0.1762026923076923,0.6742326923076922,0.6594083694324694,0.04929916862474666,0.1310218145122139,0.049623367790901055
