Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,GTFT: 0.33,2.6172029977969196,0.8786908257274382,0.0,1.0,0.8004508616911765,0.08462827665252112,0.026924081232406822,0.08799678042389555,1.0,0.3406393573191487,1.0,0.339045371658429
1,"ZD-GTFT-2: 0.25, 0.5",2.6010457954357316,0.8422816028982386,0.0,1.0,0.76248307682466,0.08016515181301495,0.040586063788319984,0.116765707574005,1.0,0.12063975402941773,1.0,0.24723920773554517
2,Tit For 2 Tats,2.588176345693377,0.8057818735291108,0.0,1.0,0.7841730874734943,0.03766355839701662,0.010202427869917468,0.1679609262595716,1.0,0.7380135029541729,1.0,0.0
3,Cooperator,2.5737790786061137,1.0,0.0,1.0,0.8571597863040187,0.14284021369598124,0.0,0.0,1.0,1.0,0.0,0.0
4,Hard Tit For 2 Tats,2.5551735777895948,0.769228646759458,0.0,1.0,0.7429638533307555,0.030913067728563746,0.01669637021894905,0.20942670872173158,1.0,0.6328730957977247,0.33899174111940067,0.12117843310689541
5,Tit For Tat,2.4780449211394107,0.7280627463679219,0.0,1.0,0.6415974981082747,0.06204463974130025,0.06070892914562117,0.2356489330048039,1.0,0.0,1.0,0.0
6,Grudger,2.414267628852948,0.6091087120883479,1.0,1.0,0.6220667673629372,0.001469530377591939,0.03923888790475099,0.33722481435471985,1.0,0.0,0.0,0.0
7,Hard Tit For Tat,2.395839885437096,0.6516709312243157,1.0,1.0,0.6268541176337984,0.006484896131011991,0.03439803378906879,0.33226295244612086,1.0,0.0,0.1464268990444415,0.0
8,Win-Stay Lose-Shift: C,2.386994892955286,0.7895841809243116,0.0,1.0,0.639876087395801,0.14973783696338394,0.06151936274171,0.14886671289910497,1.0,0.0,0.0,1.0
9,Hard Go By Majority,2.22503639738527,0.49986701337063216,7.0,0.0,0.42305401566450984,0.07389757115384449,0.1061018164407824,0.3969465967408633,1.0,0.9480704447883743,0.8409218147299774,0.0
10,Random: 0.5,2.179478187492692,0.4985675386980656,7.0,0.48846153846153845,0.231012933029746,0.26753214346111914,0.23393943654954188,0.26751548695959293,0.49568561615414647,0.4991512609785034,0.5018315792159846,0.49846080394062825
11,Joss: 0.9,2.0217514634418747,0.3425527650586621,8.0,1.0,0.25977222309638487,0.0775199134817882,0.11153258081526762,0.5511752826065593,0.9001725926633477,0.0,0.8976467067995717,0.0
12,"ZD-Extort-2: 0.1111111111111111, 0.5",1.8941149035304963,0.21480738507369457,10.0,1.0,0.18431711579488164,0.042709525608541625,0.11544337713559574,0.657529981460981,0.8882341474446847,0.5146650112391089,0.3385516527518057,0.0
13,Defector,1.8426754621587,0.0,12.0,0.0,0.0,0.0,0.2003149575737474,0.7996850424262525,0.0,0.0,0.0,0.0
