Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,GTFT: 0.33,2.6202884615384616,0.884,0.0,1.0,0.7997507692307693,0.08424923076923077,0.026125000000000002,0.089875,1.0,0.3402811735968537,1.0,0.33217101776676605
1,"ZD-GTFT-2: 0.25, 0.5",2.609403846153846,0.84415,0.0,1.0,0.7660196153846154,0.07813038461538462,0.038955000000000004,0.116895,1.0,0.1254480478095768,1.0,0.25154751481829873
2,Cooperator,2.573596153846154,1.0,0.0,1.0,0.8578784615384615,0.14212153846153844,0.0,0.0,1.0,1.0,0.0,0.0
3,Tit For 2 Tats,2.4942884615384617,0.7809696153846154,0.0,1.0,0.7487561538461539,0.03221346153846154,0.009811923076923077,0.20921846153846155,1.0,0.7344168640681045,1.0,0.0
4,Hard Tit For 2 Tats,2.4738653846153844,0.7459342307692308,0.0,1.0,0.7209165384615385,0.025017692307692307,0.014776153846153843,0.23928961538461538,1.0,0.6355118647212071,0.34046416620475867,0.11063112383703118
5,Tit For Tat,2.4440961538461536,0.6934834615384615,0.0,1.0,0.6353603846153847,0.05812307692307693,0.05799115384615384,0.24852538461538462,1.0,0.0,1.0,0.0
6,Grudger,2.3863846153846153,0.6163915384615385,1.0,1.0,0.6161992307692308,0.0001923076923076923,0.038487692307692306,0.3451207692307693,1.0,0.0,0.0,0.0
7,Hard Tit For Tat,2.37175,0.6261592307692307,1.0,1.0,0.6211319230769231,0.005027307692307691,0.03373961538461538,0.3401011538461538,1.0,0.0,0.12454229548036921,0.0
8,Win-Stay Lose-Shift: C,2.3667884615384613,0.7866896153846153,0.0,1.0,0.635335,0.1513546153846154,0.06206576923076924,0.1512446153846154,1.0,0.0,0.0,1.0
9,Hard Go By Majority,2.180423076923077,0.4969084615384615,6.0,0.0,0.42958692307692303,0.06732153846153846,0.09726461538461535,0.4058269230769231,1.0,0.9778908544617961,0.8368419764938725,0.0
10,Random: 0.5,2.138980769230769,0.5001626923076923,6.0,0.5130769230769231,0.23350884615384615,0.26665384615384613,0.23317423076923077,0.26666307692307695,0.4971867289192405,0.5008767203510166,0.49655600548699175,0.4995708512532652
11,Defector,1.7873846153846156,0.0,12.0,0.0,0.0,0.0,0.1969476923076923,0.8030523076923077,0.0,0.0,0.0,0.0
12,Joss: 0.9,1.705326923076923,0.26507576923076925,8.0,1.0,0.19440653846153846,0.07066923076923079,0.0996073076923077,0.6353169230769231,0.9000301965180936,0.0,0.9010319130388771,0.0
13,"ZD-Extort-2: 0.1111111111111111, 0.5",1.6522692307692308,0.20079538461538463,10.0,1.0,0.15976115384615383,0.041034230769230774,0.11316230769230769,0.6860423076923077,0.8850293551640734,0.48282908743905,0.35643839851766984,0.0
